Oficina Territorial,Año de la demanda,Mes de la demanda,Número de Solicitudes con Demanda
Valledupar,"2,018",3,33
Villavicencio,"2,017",2,1
Medellín Occidente,"2,018",7,9
Medellín Oriente,"2,015",3,4
Valledupar,"2,018",5,26
Urabá,"2,014",9,56
Ibagué,"2,016",8,2
Ibagué,"2,016",2,2
Villavicencio,"2,013",10,14
Medellín Oriente,"2,017",3,8
Bucaramanga,"2,015",8,12
Urabá,"2,014",6,17
Barrancabermeja,"2,017",8,1
Bucaramanga,"2,016",9,1
Medellín Occidente,"2,016",7,1
Urabá,"2,018",6,6
Cúcuta,"2,013",5,0
Villavicencio,"2,017",5,3
Ibagué,"2,017",12,1
Cúcuta,"2,016",6,13
Bucaramanga,"2,018",1,1
Medellín Occidente,"2,017",4,14
Valledupar,"2,014",6,2
Valledupar,"2,016",8,38
Cúcuta,"2,017",7,0
Valledupar,"2,018",7,33
Medellín Oriente,"2,017",10,3
Pasto,"2,017",12,14
Santa Marta,"2,017",11,11
Carmen de Bolívar,"2,014",11,48
Pereira,"2,018",7,7
Medellín Oriente,"2,016",10,12
Cúcuta,"2,012",12,23
Medellín Oriente,"2,016",6,4
Medellín Occidente,"2,015",11,4
Medellín Occidente,"2,015",12,9
Ibagué,"2,015",10,22
Medellín Occidente,"2,016",12,7
Villavicencio,"2,015",8,8
Medellín Oriente,"2,018",5,17
Carmen de Bolívar,"2,015",8,71
Urabá,"2,015",2,10
Barrancabermeja,"2,016",9,4
Medellín Occidente,"2,016",11,8
Ibagué,"2,012",12,57
Pasto,"2,013",10,80
Medellín Oriente,"2,015",12,39
Pasto,"2,017",11,94
Florencia,"2,018",3,3
Villavicencio,"2,014",9,4
Urabá,"2,016",11,47
Valledupar,"2,014",12,10
Medellín Oriente,"2,015",10,6
Cúcuta,"2,015",9,18
Medellín Oriente,"2,017",7,14
Medellín Occidente,"2,018",4,23
Medellín Occidente,"2,018",6,5
Villavicencio,"2,016",12,108
Medellín Occidente,"2,017",5,2
Ibagué,"2,016",12,32
Carmen de Bolívar,"2,018",7,31
Medellín Oriente,"2,015",8,12
Medellín Oriente,"2,016",11,4
Ibagué,"2,017",10,3
Medellín Occidente,"2,018",1,8
Carmen de Bolívar,"2,016",11,39
Carmen de Bolívar,"2,013",12,108
Medellín Oriente,"2,016",12,25
Medellín Oriente,"2,015",11,24
Ibagué,"2,018",4,0
Medellín Occidente,"2,017",2,3
Medellín Oriente,"2,014",11,41
Caucasia,"2,018",5,11
Santa Marta,"2,016",5,31
Medellín Occidente,"2,018",3,2
