FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,CLASE DE ARMA,PERMISO,ZONA,CLASE DE SITIO,CANTIDAD
23/06/2012,SANTANDER,BARRANCABERMEJA,Sábado,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,GUAJIRA,MAICAO,Sábado,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,CUNDINAMARCA,MOSQUERA,Sábado,REVOLVER,CON PERMISO,URBANA,PERIMETRO URBANO,1
23/06/2012,CUNDINAMARCA,LENGUAZAQUE,Sábado,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,CAQUETÁ,SAN JOSÉ DEL FRAGUA,Sábado,PISTOLA,CON PERMISO,RURAL,VIAS PUBLICAS,1
23/06/2012,VALLE,BUENAVENTURA,Sábado,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,VALLE,CALI ,Sábado,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,VALLE,CALI ,Sábado,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,CUNDINAMARCA,BOGOTÁ D.C. ,Sábado,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,CESAR,LA JAGUA DE IBIRICO,Sábado,REVOLVER,SIN PERMISO,RURAL,CARRETERA,1
23/06/2012,CUNDINAMARCA,BOGOTÁ D.C. ,Sábado,REVOLVER,SIN PERMISO,URBANA,AEROPUERTO,1
23/06/2012,CUNDINAMARCA,BOGOTÁ D.C. ,Sábado,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,CUNDINAMARCA,BOGOTÁ D.C. ,Sábado,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,ATLÁNTICO,BARRANQUILLA ,Sábado,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,VALLE,CALI ,Sábado,PISTOLA,SIN PERMISO,URBANA,APARTAMENTO,1
23/06/2012,ATLÁNTICO,BARRANQUILLA ,Sábado,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,NARIÑO,PASTO ,Sábado,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,2
23/06/2012,CUNDINAMARCA,SUPATÁ,Sábado,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,ANTIOQUIA,MEDELLÍN ,Sábado,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,NARIÑO,PASTO ,Sábado,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,ANTIOQUIA,ITAGUI,Sábado,PISTOLA,SIN PERMISO,RURAL,VIAS PUBLICAS,1
23/06/2012,ANTIOQUIA,ITAGUI,Sábado,REVOLVER,SIN PERMISO,RURAL,VIAS PUBLICAS,1
23/06/2012,ATLÁNTICO,SOLEDAD,Sábado,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,SANTANDER,MÁLAGA,Sábado,ESCOPETA DE FISTO,SIN PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,NARIÑO,IPIALES,Sábado,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,ANTIOQUIA,GIRARDOTA,Sábado,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,ATLÁNTICO,BARRANQUILLA ,Sábado,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,TOLIMA,CUNDAY,Sábado,ESCOPETA,SIN PERMISO,URBANA,RIVERAS,1
23/06/2012,VALLE,CALI ,Sábado,PISTOLA,SIN PERMISO,URBANA,PARQUES,1
23/06/2012,CÓRDOBA,TIERRALTA,Sábado,REVOLVER,SIN PERMISO,RURAL,VIAS PUBLICAS,1
23/06/2012,NORTE DE SANTANDER,OCAÑA,Sábado,ESCOPETA,SIN PERMISO,URBANA,INSTALACIONES DE LA POLICIA,1
23/06/2012,CUNDINAMARCA,BOGOTÁ D.C. ,Sábado,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,ANTIOQUIA,BELLO,Sábado,ESCOPETA,SIN PERMISO,URBANA,FINCAS Y SIMILARES,1
23/06/2012,BOLÍVAR,CARTAGENA ,Sábado,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,HUILA,TELLO,Sábado,REVOLVER,SIN PERMISO,RURAL,TRAMO DE VIA,1
23/06/2012,BOYACÁ,PUERTO BOYACÁ,Sábado,ESCOPETA,SIN PERMISO,RURAL,INSTALACIONES DE LA POLICIA,1
23/06/2012,CUNDINAMARCA,BOGOTÁ D.C. ,Sábado,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,VALLE,CALIMA,Sábado,REVOLVER,SIN PERMISO,RURAL,FINCAS Y SIMILARES,1
