FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA,CLASE DE SITIO,DELITO,ARMA EMPLEADA,MOVIL AGRESOR,MOVIL VICTIMA,CODIGO DANE,2015
26/12/2015,BOYACÁ,TUNJA (CT),Sábado,9:30,BARRIO LOS CRISTALES,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"15,001,000",1
26/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,0:00,BOSA LINDA E-7,URBANA,VIAS PUBLICAS,ARTÍCULO 269F. VIOLACIÓN DE DATOS PERSONALES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"11,001,000",1
26/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,10:40,FERROCAJA E-9,URBANA,VIAS PUBLICAS,ARTÍCULO 269A. ACCESO ABUSIVO A UN SISTEMA INFORMÁTICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,"11,001,000",1
26/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,15:00,PUENTE LARGO E-11,URBANA,CENTRO COMERCIAL,ARTÍCULO 269F. VIOLACIÓN DE DATOS PERSONALES,NO REPORTADO,A PIE,A PIE,"11,001,000",1
26/12/2015,HUILA,NEIVA (CT),Sábado,12:00,CENTRO,URBANA,CENTRO COMERCIAL,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"41,001,000",1
26/12/2015,META,VILLAVICENCIO (CT),Sábado,12:00,NUEVO MAIZARO,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"50,001,000",1
26/12/2015,META,VILLAVICENCIO (CT),Sábado,12:00,VEREDA VANGUARDIA,RURAL,AEROPUERTO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,NO REPORTADO,"50,001,000",1
26/12/2015,TOLIMA,ESPINAL,Sábado,19:47,CENTRO,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"73,268,000",1
26/12/2015,TOLIMA,ESPINAL,Sábado,19:47,VALCANES,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"73,268,000",1
25/12/2015,ANTIOQUIA,BELLO,Viernes,23:00,VDA. HATOVIEJO,URBANA,VIAS PUBLICAS,ARTÍCULO 269A. ACCESO ABUSIVO A UN SISTEMA INFORMÁTICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,"5,088,000",1
25/12/2015,CESAR,VALLEDUPAR (CT),Viernes,6:00,12 DE OCTUBRE,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,CONTUNDENTES,A PIE,A PIE,"20,001,000",1
