Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
20/06/2017,CHOCÓ,QUIBDÓ (CT),Martes,20:45:00,ESMERALDA,URBANA,TALLERES MECANICA,ARMA DE FUEGO,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"27,001,000",1
20/06/2017,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,21:30:00,LAS NIEVES E-3,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,35,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,"11,001,000",1
20/06/2017,CUNDINAMARCA,GIRARDOT,Martes,15:00:00,VER.BERLIN,RURAL,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,65,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,-,SECUNDARIA,"25,307,000",1
20/06/2017,CUNDINAMARCA,GIRARDOT,Martes,21:20:00,GAITAN,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,41,FEMENINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"25,307,000",1
20/06/2017,CUNDINAMARCA,GIRARDOT,Martes,21:20:00,GAITAN,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,73,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"25,307,000",1
20/06/2017,NARIÑO,SAPUYES,Martes,6:00:00,VEREDAD SAN JORGE,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,29,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,-,PRIMARIA,"52,720,000",1
20/06/2017,QUINDÍO,ARMENIA (CT),Martes,8:15:00,EL BOSQUE,URBANA,PARQUES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,35,FEMENINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,-,SECUNDARIA,"63,001,000",1
20/06/2017,RISARALDA,PEREIRA (CT),Martes,18:55:00,ALBANIA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,17,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"66,001,000",1
20/06/2017,VALLE,BUGALAGRANDE,Martes,19:15:00,LA PLANTA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,35,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"76,113,000",1
20/06/2017,VALLE,CALI (CT),Martes,17:30:00,EL RETIRO E15,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"76,001,000",1
20/06/2017,VALLE,CALI (CT),Martes,21:45:00,BELLAVISTA E19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,20,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,TECNOLOGO  ELECTRICA,TECNICO,"76,001,000",1
20/06/2017,VALLE,CALI (CT),Martes,20:25:00,VILLANUEVA E12,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,49,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,"76,001,000",1
20/06/2017,VALLE,CALI (CT),Martes,14:35:00,LOS COMUNEROS I E15,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,37,MASCULINO,SOLTERO,COLOMBIA,COMERCIANTE,-,PRIMARIA,"76,001,000",1
20/06/2017,VALLE,CALI (CT),Martes,17:36:00,SILOE E20,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,PRIMARIA,"76,001,000",1
