FECHA,DEPARTAMENTO ,MUNICIPIO,DIA ,HORA,BARRIO,ZONA,CLASE SITIO,ARMA EMPLEADA,MOVIL AGRESOR,MOVIL VICTIMA,EDAD,SEXO,ESTADO CIVIL,PAIS NACE,CLASE EMPLEADO,PROFESIONES,ESCOLARIDAD,CODIGO DANE,2013
13/02/2013,TOLIMA,PALOCABILDO,Miércoles,2:00,VRDA. BUENOS AIRES,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,"73,520,000",1
13/02/2013,VALLE,CALI (CT),Miércoles,13:00,MARROQUIN I E14,URBANA,DENTRO DE LA VIVIENDA,ARMA DE FUEGO,A PIE,A PIE,34,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,"76,001,000",1
13/02/2013,VALLE,JAMUNDÍ,Miércoles,10:30,CGTO ROBLES (24-S1-1),RURAL,CARRETERA,ARMA DE FUEGO,A PIE,VEHICULO,32,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,"76,364,000",1
13/02/2013,VALLE,JAMUNDÍ,Miércoles,10:30,CGTO ROBLES (24-S1-1),RURAL,CARRETERA,ARMA DE FUEGO,A PIE,VEHICULO,35,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,"76,364,000",1
13/02/2013,VALLE,JAMUNDÍ,Miércoles,11:25,LA CEIBITA E24,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,36,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,PRIMARIA,"76,364,000",1
13/02/2013,VALLE,PALMIRA,Miércoles,20:10,SEMBRADOR,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADA,SECUNDARIA,"76,520,000",1
13/02/2013,VALLE,PALMIRA,Miércoles,22:00,URB. LLANO GRANDE,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,VEHICULO,38,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,NO REPORTADA,SECUNDARIA,"76,520,000",1
13/02/2013,VALLE,SEVILLA,Miércoles,21:30,VDA SALDAÑA,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,34,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,"76,736,000",1
13/02/2013,VALLE,TULUÁ,Miércoles,19:05,Cgto Aguaclara,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,37,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,PRIMARIA,"76,834,000",1
13/02/2013,VALLE,YUMBO,Miércoles,14:10,BELALCAZAR E25,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,41,MASCULINO,UNION LIBRE,COLOMBIA,COMERCIANTE,NO REPORTADO,PRIMARIA,"76,892,000",1
14/02/2013,ANTIOQUIA,ENVIGADO,Jueves,7:58,VDA. EL VALLANO,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,42,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,PRIMARIA,"5,266,000",1
14/02/2013,ANTIOQUIA,RIONEGRO,Jueves,21:45,CUATRO ESQUINAS,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,27,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,"5,615,000",1
14/02/2013,ANTIOQUIA,SANTA ROSA DE OSOS,Jueves,8:20,GIMANI TUBERIAS,URBANA,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,52,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,"5,686,000",1
14/02/2013,ANTIOQUIA,SEGOVIA,Jueves,10:00,EL HUESO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,39,MASCULINO,NO REPORTA,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,NO REPORTADO,"5,736,000",1
